1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"[('IUHK A', 'Shaheen B'), 'HV']","[('Police A', 'KCC C'), 'HV']","[('HKFC F', 'Police A'), 'HKFC']","[('Recreio B', 'Shaheen B'), 'HV']","[('HKFC F', 'IUHK A'), 'HKFC']","[('IUHK A', 'SSSC C'), 'HV']","[('RHOBA B', 'IUHK A'), 'HV']","[('Khalsa C', 'Aquila B'), 'HV']","[('Aquila B', 'KCC C'), 'HV']","[('Valley D', 'Khalsa C'), 'HV']","[('IUHK A', 'Valley D'), 'HV']","[('Shaheen B', 'IUHK A'), 'HV']","[('Valley D', 'Shaheen B'), 'HV']","[('Khalsa C', 'KCC C'), 'HV']","[('Aquila B', 'RHOBA B'), 'HV']","[('KCC C', 'Valley D'), 'HV']","[('Recreio B', 'NBC B'), 'HV']","[('Khalsa C', 'Police A'), 'HV']","[('RHOBA B', 'Valley D'), 'HV']","[('Valley D', 'Police A'), 'HV']","[('Aquila B', 'IUHK A'), 'HV']","[('HKFC F', 'Aquila B'), 'HKFC']"
"[('Aquila B', 'Valley D'), 'HV']","[('Shaheen B', 'Valley D'), 'HV']","[('SSSC C', 'RHOBA B'), 'HV']","[('Police A', 'SSSC C'), 'HV']","[('RHOBA B', 'Police A'), 'HV']","[('NBC B', 'Recreio B'), 'HV']","[('Shaheen B', 'HKFC F'), 'HKFC']","[('IUHK A', 'Police A'), 'HV']","[('NBC B', 'HKFC F'), 'HKFC']","[('IUHK A', 'Aquila B'), 'HV']","[('Police A', 'Recreio B'), 'HV']","[('Valley D', 'Aquila B'), 'HV']","[('HKFC F', 'RHOBA B'), 'HKFC']","[('Police A', 'HKFC F'), 'HKFC']","[('SSSC C', 'Police A'), 'HV']","[('IUHK A', 'HKFC F'), 'HKFC']","[('RHOBA B', 'Khalsa C'), 'HV']","[('NBC B', 'Aquila B'), 'HV']","[('Recreio B', 'HKFC F'), 'HKFC']","[('Shaheen B', 'RHOBA B'), 'HV']","[('Police A', 'Shaheen B'), 'HV']","[('Recreio B', 'Police A'), 'HV']"
"[('Antlers B', 'Rhino A'), 'KP']","[('Gojra a', 'Antlers B'), 'KP']","[('Antlers B', 'Elite C'), 'KP']","[('Elite B', 'RHOBA C'), 'KP']","[('RHOBA C', 'Dragons B'), 'KP']","[('Aquila C', 'Rhino A'), 'KP']","[('Gojra a', 'Aquila C'), 'KP']","[('RHOBA C', 'Gojra a'), 'KP']","[('Ewis A', 'Rhino A'), 'KP']","[('Gojra a', 'Ewis A'), 'KP']","[('Elite B', 'Gojra a'), 'KP']","[('Ewis A', 'Dutch B'), 'KP']","[('Dragons B', 'Elite C'), 'KP']","[('Dutch B', 'Dragons B'), 'KP']","[('RHOBA C', 'Elite B'), 'KP']","[('Dragons B', 'RHOBA C'), 'KP']","[('RHOBA C', 'Antlers B'), 'KP']","[('Dragons B', 'Ewis A'), 'KP']","[('Gojra a', 'RHOBA C'), 'KP']","[('Aquila C', 'Dutch B'), 'KP']","[('Elite C', 'HKFC G'), 'HKFC']","[('HKFC G', 'Dutch B'), 'HKFC']"
"[('Aquila C', 'HKFC G'), 'HKFC']","[('Ewis A', 'Aquila C'), 'BS']","[('RHOBA C', 'Ewis A'), 'BS']","[('Dragons B', 'Aquila C'), 'BS']","[('144 United Hockey Club A', 'Ewis A'), 'BS']","[('Antlers B', 'RHOBA C'), 'BS']","[('HKFC G', 'Antlers B'), 'HKFC']","[('Antlers B', 'Ewis A'), 'BS']","[('Elite B', 'Antlers B'), 'BS']","[('RHOBA C', 'Dutch B'), 'BS']","[('144 United Hockey Club A', 'Antlers B'), 'BS']","[('HKFC G', 'Aquila C'), 'HKFC']","[('RHOBA C', 'HKFC G'), 'HKFC']","[('Elite C', 'Antlers B'), 'BS']","[('HKFC G', 'Ewis A'), 'HKFC']","[('Elite B', 'HKFC G'), 'HKFC']","[('Gojra a', 'Dutch B'), 'BS']","[('Dutch B', 'Elite C'), 'BS']","[('HKFC G', 'Rhino A'), 'HKFC']","[('HKFC G', 'Gojra a'), 'HKFC']","[('Dragons B', 'Antlers B'), 'KP']","[('Rhino A', 'Dragons B'), 'KP']"
"[('Elite B', 'Elite C'), 'BS']","[('Rhino A', '144 United Hockey Club A'), 'LF']","[('Rhino A', 'Gojra a'), 'LF']","[('Dutch B', 'Antlers B'), 'LF']","[('Antlers B', 'Aquila C'), 'LF']","[('Dutch B', 'Gojra a'), 'LF']","[('144 United Hockey Club A', 'Elite B'), 'BS']","[('Dutch B', '144 United Hockey Club A'), 'LF']","[('Gojra a', 'HKFC G'), 'HKFC']","[('Aquila C', '144 United Hockey Club A'), 'LF']","[('Dragons B', 'Rhino A'), 'LF']","[('RHOBA C', '144 United Hockey Club A'), 'BS']","[('Dutch B', 'Elite B'), 'BS']","[('HKFC G', '144 United Hockey Club A'), 'HKFC']","[('Rhino A', 'Elite C'), 'BS']","[('Ewis A', '144 United Hockey Club A'), 'BS']","[('Rhino A', 'Aquila C'), 'LF']","[('Aquila C', 'Gojra a'), 'LF']","[('Ewis A', 'Antlers B'), 'BS']","[('Rhino A', 'Ewis A'), 'BS']","[('Dutch B', 'RHOBA C'), 'BS']","[('Ewis A', 'Elite C'), 'BS']"
"[('Dragons B', 'Gojra a'), 'LF']","[('Elite C', 'Dragons B'), 'HV']","[('Aquila C', 'Elite B'), 'HV']","[('Ewis A', 'HKFC G'), 'HKFC']","[('Rhino A', 'Dutch B'), 'HV']","[('Dragons B', 'HKFC G'), 'HKFC']","[('Rhino A', 'RHOBA C'), 'LF']","[('Rhino A', 'HKFC G'), 'HKFC']","[('Elite C', 'RHOBA C'), 'LF']","[('Rhino A', 'Elite B'), 'HV']","[('Dutch B', 'HKFC G'), 'HKFC']","[('Rhino A', 'Antlers B'), 'LF']","[('Antlers B', 'Gojra a'), 'LF']","[('Elite B', 'Aquila C'), 'LF']","[('Aquila C', 'Dragons B'), 'LF']","[('Elite C', 'Gojra a'), 'LF']","[('144 United Hockey Club A', 'Elite C'), 'HV']","[('Antlers B', 'HKFC G'), 'HKFC']","[('Elite C', 'Aquila C'), 'LF']","[('Antlers B', 'Elite B'), 'LF']","[('Ewis A', 'Gojra a'), 'LF']","[('Gojra a', 'Elite B'), 'LF']"
"[('144 United Hockey Club A', 'RHOBA C'), 'HV']","[('Elite B', 'Dutch B'), 'HV']","[('Dragons B', 'Dutch B'), 'HV']","[('Elite C', 'Rhino A'), 'HV']","[('Gojra a', 'Elite C'), 'HV']","[('Elite C', '144 United Hockey Club A'), 'HV']","[('Ewis A', 'Dragons B'), 'HV']","[('Aquila C', 'Elite C'), 'HV']","[('Dutch B', 'Aquila C'), 'HV']","[('Antlers B', 'Dragons B'), 'HV']","[('Aquila C', 'RHOBA C'), 'HV']","[('Gojra a', 'Dragons B'), 'HV']","[('Aquila C', 'Ewis A'), 'HV']","[('Ewis A', 'RHOBA C'), 'HV']","[('Antlers B', 'Dutch B'), 'HV']","[('Dutch B', 'Rhino A'), 'HV']","[('Ewis A', 'Elite B'), 'HV']","[('Elite B', '144 United Hockey Club A'), 'HV']","[('Elite B', 'Dragons B'), 'HV']","[('Dragons B', '144 United Hockey Club A'), 'HV']","[('Elite B', 'Rhino A'), 'HV']","[('RHOBA C', 'Aquila C'), 'HV']"
"[('Dutch B', 'Ewis A'), 'HV']","[('HKFC G', 'RHOBA C'), 'HKFC']","[('144 United Hockey Club A', 'HKFC G'), 'HKFC']","[('Gojra a', '144 United Hockey Club A'), 'HV']","[('HKFC G', 'Elite B'), 'HKFC']","[('Elite B', 'Ewis A'), 'HV']","[('Elite C', 'Dutch B'), 'HV']","[('Dragons B', 'Elite B'), 'HV']","[('144 United Hockey Club A', 'Dragons B'), 'HV']","[('HKFC G', 'Elite C'), 'HKFC']","[('Elite C', 'Ewis A'), 'HV']","[('Elite C', 'Elite B'), 'HV']","[('144 United Hockey Club A', 'Rhino A'), 'HV']","[('Gojra a', 'Rhino A'), 'HV']","[('144 United Hockey Club A', 'Gojra a'), 'HV']","[('Aquila C', 'Antlers B'), 'HV']","[('HKFC G', 'Dragons B'), 'HKFC']","[('RHOBA C', 'Rhino A'), 'HV']","[('144 United Hockey Club A', 'Dutch B'), 'HV']","[('RHOBA C', 'Elite C'), 'HV']","[('144 United Hockey Club A', 'Aquila C'), 'HV']","[('Antlers B', '144 United Hockey Club A'), 'HV']"
"[('IUHK B', 'Recreio C'), 'KP']","[('Recreio C', 'Dragons C'), 'KP']","[('Antlers C', 'Shaheen C'), 'KP']","[('Recreio C', 'Shaheen C'), 'KP']","[('Scorpion B', 'Punjab A'), 'KP']","[('Dragons C', 'Skyers A'), 'KP']","[('Recreio C', 'Ewis B'), 'KP']","[('Dragons C', 'Punjab A'), 'KP']","[('KCC D', 'Marcellin A'), 'KP']","[('Marcellin A', 'Ewis B'), 'KP']","[('KCC D', 'Scorpion B'), 'KP']","[('Shaheen C', 'Dragons C'), 'KP']","[('Marcellin A', 'Scorpion B'), 'KP']","[('Shaheen C', 'Antlers C'), 'KP']","[('Valley E', 'KCC D'), 'KP']","[('IUHK B', 'Skyers A'), 'KP']","[('Recreio C', 'KCC D'), 'KP']","[('IUHK B', 'Punjab A'), 'KP']","[('Shaheen C', 'Skyers A'), 'KP']","[('Dragons C', 'IUHK B'), 'KP']","[('Recreio C', 'Scorpion B'), 'KP']","[('Shaheen C', 'IUHK B'), 'KP']"
"[('Marcellin A', 'Skyers A'), 'BS']","[('Shaheen C', 'Valley E'), 'BS']","[('Ewis B', 'IUHK B'), 'BS']","[('KCC D', 'Valley E'), 'BS']","[('Antlers C', 'Recreio C'), 'BS']","[('Punjab A', 'Antlers C'), 'BS']","[('Skyers A', 'Valley E'), 'BS']","[('Valley E', 'Scorpion B'), 'BS']","[('IUHK B', 'Dragons C'), 'BS']","[('Dragons C', 'Antlers C'), 'BS']","[('IUHK B', 'Shaheen C'), 'BS']","[('Recreio C', 'IUHK B'), 'BS']","[('Antlers C', 'Skyers A'), 'BS']","[('KCC D', 'Dragons C'), 'BS']","[('Skyers A', 'Punjab A'), 'BS']","[('Ewis B', 'Valley E'), 'BS']","[('Antlers C', 'Punjab A'), 'BS']","[('Dragons C', 'Scorpion B'), 'BS']","[('Antlers C', 'IUHK B'), 'BS']","[('Valley E', 'Punjab A'), 'BS']","[('IUHK B', 'Valley E'), 'BS']","[('Marcellin A', 'Antlers C'), 'BS']"
"[('KCC D', 'Punjab A'), 'LF']","[('Skyers A', 'Antlers C'), 'LF']","[('Marcellin A', 'Punjab A'), 'LF']","[('IUHK B', 'Marcellin A'), 'LF']","[('Marcellin A', 'Dragons C'), 'LF']","[('Ewis B', 'Shaheen C'), 'LF']","[('Shaheen C', 'Marcellin A'), 'LF']","[('IUHK B', 'Antlers C'), 'LF']","[('Scorpion B', 'Shaheen C'), 'LF']","[('Skyers A', 'KCC D'), 'LF']","[('Antlers C', 'Marcellin A'), 'LF']","[('Scorpion B', 'Ewis B'), 'LF']","[('Dragons C', 'Recreio C'), 'LF']","[('Recreio C', 'Valley E'), 'LF']","[('Antlers C', 'Scorpion B'), 'LF']","[('Dragons C', 'Marcellin A'), 'LF']","[('Skyers A', 'Dragons C'), 'LF']","[('Ewis B', 'Recreio C'), 'LF']","[('Scorpion B', 'Valley E'), 'LF']","[('Skyers A', 'Recreio C'), 'LF']","[('Antlers C', 'Dragons C'), 'LF']","[('Valley E', 'Dragons C'), 'LF']"
"[('Ewis B', 'Scorpion B'), 'HV']","[('Scorpion B', 'Marcellin A'), 'HV']","[('Skyers A', 'Scorpion B'), 'HV']","[('Scorpion B', 'Antlers C'), 'HV']","[('Shaheen C', 'KCC D'), 'HV']","[('KCC D', 'Recreio C'), 'HV']","[('Punjab A', 'IUHK B'), 'HV']","[('Skyers A', 'Shaheen C'), 'HV']","[('Punjab A', 'Valley E'), 'HV']","[('Shaheen C', 'Punjab A'), 'HV']","[('Ewis B', 'Skyers A'), 'HV']","[('Punjab A', 'KCC D'), 'HV']","[('Valley E', 'Shaheen C'), 'HV']","[('Punjab A', 'Marcellin A'), 'HV']","[('Marcellin A', 'IUHK B'), 'HV']","[('Recreio C', 'Antlers C'), 'HV']","[('Scorpion B', 'IUHK B'), 'HV']","[('KCC D', 'Antlers C'), 'HV']","[('KCC D', 'Ewis B'), 'HV']","[('Ewis B', 'Antlers C'), 'HV']","[('Punjab A', 'Shaheen C'), 'HV']","[('Skyers A', 'Ewis B'), 'HV']"
"[('Dragons C', 'Shaheen C'), 'HV']","[('Punjab A', 'Ewis B'), 'HV']","[('Dragons C', 'KCC D'), 'HV']","[('Ewis B', 'Dragons C'), 'HV']","[('Skyers A', 'IUHK B'), 'HV']","[('Marcellin A', 'Valley E'), 'HV']","[('Scorpion B', 'Dragons C'), 'HV']","[('Ewis B', 'KCC D'), 'HV']","[('Recreio C', 'Skyers A'), 'HV']","[('Valley E', 'IUHK B'), 'HV']","[('Dragons C', 'Valley E'), 'HV']","[('Valley E', 'Antlers C'), 'HV']","[('Ewis B', 'Punjab A'), 'HV']","[('Scorpion B', 'Skyers A'), 'HV']","[('Shaheen C', 'Recreio C'), 'HV']","[('Punjab A', 'Scorpion B'), 'HV']","[('Shaheen C', 'Ewis B'), 'HV']","[('Valley E', 'Skyers A'), 'HV']","[('Punjab A', 'Dragons C'), 'HV']","[('Shaheen C', 'Scorpion B'), 'HV']","[('KCC D', 'Skyers A'), 'HV']","[('Recreio C', 'Punjab A'), 'HV']"
"[('Antlers C', 'Valley E'), 'HV']","[('KCC D', 'IUHK B'), 'HV']","[('Valley E', 'Recreio C'), 'HV']","[('Punjab A', 'Skyers A'), 'HV']","[('Valley E', 'Ewis B'), 'HV']","[('IUHK B', 'Scorpion B'), 'HV']","[('Antlers C', 'KCC D'), 'HV']","[('Marcellin A', 'Recreio C'), 'HV']","[('Antlers C', 'Ewis B'), 'HV']","[('Scorpion B', 'Recreio C'), 'HV']","[('Punjab A', 'Recreio C'), 'HV']","[('Skyers A', 'Marcellin A'), 'HV']","[('IUHK B', 'KCC D'), 'HV']","[('IUHK B', 'Ewis B'), 'HV']","[('Dragons C', 'Ewis B'), 'HV']","[('KCC D', 'Shaheen C'), 'HV']","[('Valley E', 'Marcellin A'), 'HV']","[('Marcellin A', 'Shaheen C'), 'HV']","[('Recreio C', 'Marcellin A'), 'HV']","[('Marcellin A', 'KCC D'), 'HV']","[('Ewis B', 'Marcellin A'), 'HV']","[('Scorpion B', 'KCC D'), 'HV']"
"[('Antlers D', 'HKU A'), 'KP']","[('HKU A', '144 United Hockey Club B'), 'KP']","[('144 United Hockey Club B', 'HKFC H'), 'HKFC']","[('CSD A', 'Valley F'), 'KP']","[('HKU A', 'Antlers D'), 'KP']","[('Elite D', '144 United Hockey Club B'), 'KP']","[('Elite E', 'Valley F'), 'KP']","[('HKFC H', 'Elite E'), 'HKFC']","[('Antlers D', 'HKU A'), 'KP']","[('HKFC H', 'Valley F'), 'HKFC']","[('Antlers D', 'Elite D'), 'KP']","[('Elite D', 'HKU A'), 'KP']","[('HKCC C', 'Elite D'), 'KP']","[('Valley F', 'HKFC H'), 'HKFC']","[('Elite D', 'Antlers D'), 'KP']","[('Antlers D', '144 United Hockey Club B'), 'KP']",,,,,,
"[('144 United Hockey Club B', 'Valley F'), 'BS']","[('HKFC H', 'Valley F'), 'HKFC']","[('HKU A', 'HKCC C'), 'KP']","[('Elite D', 'HKU A'), 'BS']","[('HKCC C', 'Elite D'), 'BS']","[('CSD A', 'Elite E'), 'BS']","[('144 United Hockey Club B', 'CSD A'), 'BS']","[('Valley F', 'CSD A'), 'KP']","[('144 United Hockey Club B', 'Valley F'), 'BS']","[('HKU A', '144 United Hockey Club B'), 'KP']","[('144 United Hockey Club B', 'HKFC H'), 'HKFC']","[('CSD A', 'Valley F'), 'BS']","[('HKFC H', 'CSD A'), 'HKFC']","[('Antlers D', 'HKCC C'), 'KP']","[('144 United Hockey Club B', 'CSD A'), 'BS']","[('Valley F', 'CSD A'), 'BS']",,,,,,
"[('CSD A', 'HKFC H'), 'HKFC']","[('HKCC C', 'Antlers D'), 'BS']","[('Valley F', 'Elite E'), 'BS']","[('Elite E', 'HKFC H'), 'HKFC']","[('144 United Hockey Club B', 'Elite E'), 'LF']","[('Valley F', 'HKFC H'), 'HKFC']","[('Elite D', 'Antlers D'), 'LF']","[('Antlers D', '144 United Hockey Club B'), 'BS']","[('CSD A', 'HKFC H'), 'HKFC']","[('Elite E', 'CSD A'), 'BS']","[('Valley F', 'Elite E'), 'BS']","[('Elite E', 'HKFC H'), 'HKFC']","[('144 United Hockey Club B', 'Elite E'), 'BS']","[('CSD A', 'Elite E'), 'BS']","[('Elite E', 'Valley F'), 'LF']","[('HKFC H', 'Elite E'), 'HKFC']",,,,,,
"[('Elite D', 'HKCC C'), 'LF']","[('Elite E', 'CSD A'), 'LF']","[('Antlers D', 'Elite D'), 'LF']","[('HKCC C', '144 United Hockey Club B'), 'LF']","[('HKFC H', 'CSD A'), 'HKFC']","[('Antlers D', 'HKCC C'), 'LF']","[('HKCC C', 'HKU A'), 'HV']","[('HKU A', 'Elite D'), 'LF']","[('Elite D', 'HKCC C'), 'LF']","[('HKCC C', 'Antlers D'), 'LF']","[('HKU A', 'HKCC C'), 'LF']","[('HKCC C', '144 United Hockey Club B'), 'LF']","[('HKU A', 'Antlers D'), 'LF']","[('Elite D', '144 United Hockey Club B'), 'LF']","[('HKCC C', 'HKU A'), 'HV']","[('HKU A', 'Elite D'), 'LF']",,,,,,
